query,price,elegancia_company_name,elegancia_company_price,shopping_china_name,shopping_china_price,toku_importados_name,toku_importados_price,multipass_name,multipass_price,nissei_name,nissei_price,cellshop_name,cellshop_price,mega_eletrônicos_name,mega_eletrônicos_price,pioneer_international_name,pioneer_international_price,mobile_zone_name,mobile_zone_price,la_petisquera_name,la_petisquera_price,madrid_center_name,madrid_center_price,star_company_name,star_company_price,pontocom_name,pontocom_price,atlantico_shop_name,atlantico_shop_price,victoria_store_name,victoria_store_price,macedonia_name,macedonia_price,alborada_name,alborada_price,atacado_connect_name,atacado_connect_price,genove_name,genove_price,epic_importados_name,epic_importados_price,casa_americana_name,casa_americana_price,mega_eletro_name,mega_eletro_price,smart_store_name,smart_store_price,world_of_vape_name,world_of_vape_price,asm_group_name,asm_group_price,dr_cell_atacado_name,dr_cell_atacado_price,charme_perfumaria_name,charme_perfumaria_price,prime_shop_name,prime_shop_price,roma_shopping_name,roma_shopping_price,agatres_name,agatres_price,aroma_store_s.a_name,aroma_store_s.a_price,super_games_name,super_games_price,terra_nova_name,terra_nova_price,adeshop_name,adeshop_price,brands_for_less_name,brands_for_less_price,sampa_vapor_name,sampa_vapor_price,top_house_name,top_house_price,computech_name,computech_price,mini_carlos_name,mini_carlos_price,mario_cell_name,mario_cell_price,eshop_name,eshop_price,new_zone_name,new_zone_price,matrix_importados_name,matrix_importados_price,centro_de_motorola_name,centro_de_motorola_price
LATTAFA KHAMRAH BLACK EDP 100ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATTAFA KHAMRAH QAHWA EDP 100ML,,elegancia_company,"US$ 30,00",shopping_china,"US$ 31,00",toku_importados,"US$ 30,50",multipass,"US$ 39,00",nissei,"US$ 25,00",,,,,pioneer_international,"US$ 18,50",mobile_zone,"US$ 23,00",,,madrid_center,"US$ 22,00",star_company,"US$ 18,00",pontocom,"US$ 26,00",atlantico_shop,"US$ 23,00",victoria_store,"US$ 30,00",,,,,atacado_connect,"US$ 18,25",,,epic_importados,"US$ 18,00",,,,,,,,,asm_group,"US$ 32,00",dr_cell_atacado,"US$ 19,00",,,prime_shop,"US$ 18,00",,,agatres,"US$ 20,00",,,,,terra_nova,"US$ 26,00",,,,,,,,,,,mini_carlos,"US$ 34,00",,,,,new_zone,"US$ 30,00",,,,
LATTAFA MAYAR NATURAL INTENSE EDP 100ML,,,,shopping_china,"US$ 27,00",toku_importados,"US$ 35,00",,,,,,,,,pioneer_international,"US$ 20,00",mobile_zone,"US$ 23,00",,,,,star_company,"US$ 21,50",pontocom,"US$ 25,00",atlantico_shop,"US$ 23,00",,,,,,,atacado_connect,"US$ 15,50",,,epic_importados,"US$ 21,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sampa_vapor,"US$ 28,00",,,,,,,,,,,,,,,,
LATTAFA MUSAMAM OUD 100ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATTAFA PRIDE AJWAA EDP 90ML,,elegancia_company,"US$ 39,00",,,,,,,,,,,,,,,,,,,madrid_center,"US$ 25,00",star_company,"US$ 19,00",pontocom,"US$ 35,00",atlantico_shop,"US$ 35,00",,,,,,,,,genove,"US$ 19,00",epic_importados,"US$ 19,50",,,,,,,,,,,,,,,,,,,,,aroma_store_s.a,"US$ 38,00",,,,,,,,,,,,,,,,,,,,,new_zone,"US$ 49,00",,,,
LATTAFA PRIDE SHAHEEN SILVER EDP 100ML,,elegancia_company,"US$ 35,00",,,toku_importados,"US$ 35,00",,,nissei,"US$ 35,00",cellshop,"US$ 38,50",,,pioneer_international,"US$ 21,00",mobile_zone,"US$ 26,00",la_petisquera,"US$ 22,00",,,star_company,"US$ 19,00",pontocom,"US$ 23,00",atlantico_shop,"US$ 26,00",victoria_store,"US$ 27,00",,,,,,,,,,,,,,,,,,,,,dr_cell_atacado,"US$ 19,00",,,prime_shop,"US$ 19,00",,,agatres,"US$ 22,00",,,,,terra_nova,"US$ 31,00",adeshop,"US$ 24,50",,,,,,,,,,,mario_cell,"US$ 22,00",,,new_zone,"US$ 38,00",,,,
LATTAFA YARA EDP 100ML,,elegancia_company,"US$ 25,00",shopping_china,"US$ 23,00",toku_importados,"US$ 21,00",multipass,"US$ 21,50",nissei,"US$ 25,00",cellshop,"US$ 36,00",mega_eletrônicos,"US$ 23,50",pioneer_international,"US$ 19,00",mobile_zone,"US$ 21,00",,,madrid_center,"US$ 20,50",star_company,"US$ 17,70",pontocom,"US$ 20,00",atlantico_shop,"US$ 22,00",victoria_store,"US$ 22,00",macedonia,"US$ 17,75",,,,,,,epic_importados,"US$ 18,50",,,mega_eletro,"US$ 23,50",,,world_of_vape,"US$ 18,00",asm_group,"US$ 25,00",dr_cell_atacado,"US$ 18,00",charme_perfumaria,"US$ 24,50",prime_shop,"US$ 17,70",roma_shopping,"US$ 28,00",agatres,"US$ 19,00",aroma_store_s.a,"US$ 21,00",,,,,adeshop,"US$ 21,00",brands_for_less,"US$ 21,00",sampa_vapor,"US$ 23,00",top_house,"US$ 12,90",computech,"US$ 20,00",mini_carlos,"US$ 22,00",mario_cell,"US$ 19,00",,,,,,,centro_de_motorola,"US$ 20,00"
LATTAFA YARA CANDY EDP 100ML,,elegancia_company,"US$ 59,00",shopping_china,"US$ 35,50",toku_importados,"US$ 60,00",multipass,"US$ 23,50",,,cellshop,"US$ 69,00",,,,,mobile_zone,"US$ 30,00",,,madrid_center,"US$ 46,50",star_company,"US$ 24,00",pontocom,"US$ 32,00",atlantico_shop,"US$ 25,00",victoria_store,"US$ 30,00",macedonia,"US$ 22,00",,,atacado_connect,"US$ 23,00",genove,"US$ 25,00",epic_importados,"US$ 28,50",,,,,,,,,asm_group,"US$ 60,00",dr_cell_atacado,"US$ 23,00",,,prime_shop,"US$ 23,00",,,,,,,,,,,adeshop,"US$ 32,00",,,,,,,,,,,,,,,,,,,,
LATTAFA YARA MOI EDP 100ML FEM,,elegancia_company,"US$ 25,00",shopping_china,"US$ 25,00",,,multipass,"US$ 23,00",nissei,"US$ 28,00",,,mega_eletrônicos,"US$ 25,00",,,,,la_petisquera,"US$ 24,50",madrid_center,"US$ 22,50",star_company,"US$ 18,50",pontocom,"US$ 22,00",atlantico_shop,"US$ 21,00",victoria_store,"US$ 21,00",macedonia,"US$ 19,00",alborada,"US$ 22,00",atacado_connect,"US$ 18,50",genove,"US$ 19,00",epic_importados,"US$ 19,75",,,mega_eletro,"US$ 25,00",,,,,asm_group,"US$ 25,00",dr_cell_atacado,"US$ 20,00",charme_perfumaria,"US$ 23,00",prime_shop,"US$ 18,50",,,,,,,,,terra_nova,"US$ 23,50",,,,,sampa_vapor,"US$ 23,00",top_house,"US$ 12,90",,,mini_carlos,"US$ 22,00",,,,,new_zone,"US$ 25,00",matrix_importados,"US$ 30,00",centro_de_motorola,"US$ 23,00"
LATTAFA YARA TOUS EDP 100ML,,elegancia_company,"US$ 25,00",shopping_china,"US$ 26,00",toku_importados,"US$ 24,00",multipass,"US$ 21,00",nissei,"US$ 25,00",cellshop,"US$ 41,50",mega_eletrônicos,"US$ 19,50",,,mobile_zone,"US$ 22,00",la_petisquera,"US$ 22,50",madrid_center,"US$ 21,50",star_company,"US$ 17,90",pontocom,"US$ 25,00",atlantico_shop,"US$ 22,00",victoria_store,"US$ 22,00",macedonia,"US$ 19,50",,,atacado_connect,"US$ 17,90",genove,"US$ 21,00",epic_importados,"US$ 20,50",,,mega_eletro,"US$ 19,50",,,,,asm_group,"US$ 26,00",,,,,prime_shop,"US$ 17,90",,,,,aroma_store_s.a,"US$ 20,00",,,,,adeshop,"US$ 21,50",brands_for_less,"US$ 23,00",sampa_vapor,"US$ 21,00",top_house,"US$ 12,90",,,,,,,,,,,,,,
